Word,WordFreq_count,Wordfreq_localrank,Wordfreq_globalrank,Concreteness,ECoG_memobserved_weigthed,ECoG_memobserved_unweighted,AMT_memobserved,Model_presented_cue,Model_all_cue,ModelListMem
    {'SUIT'  },29000,230,1415,4.97,0.1379,0.2857,0.619,0.0001731,0.0034161,0.0044
    {'SUN'   },49383,242,1237,4.83,0.4828,0.875,0.5417,0.0002095,0.0033525,0.0038
    {'SWAMP' },3721,49,6420,4.96,0.1724,0.3333,0.4455,0.0002832,0.0034267,0.0037
    {'SWORD' },7690,115,4137,4.93,0.1724,0.2778,0.6923,0.0002074,0.0037804,0.0043
    {'TAIL'  },11516,157,3004,4.96,0.3103,0.5,0.5684,0.0003575,0.0051588,0.0062
    {'TANK'  },20540,201,1884,4.8,0.4138,0.5714,0.8415,0.0004177,0.0034071,0.0043
    {'TEA'   },19429,187,2177,4.69,0.4828,0.6667,0.6739,0.0003675,0.0034475,0.0043
    {'TEETH' },22223,203,1864,4.96,0.1379,0.3333,0.505,0.0001902,0.0042313,0.0051
    {'TENT'  },11006,153,3090,4.96,0.2759,0.4,0.5804,0.0003914,0.0036761,0.0051
    {'THREAD'},5723,81,4758,4.83,0.1724,0.3125,0.5979,0.0001842,0.002827,0.0038
    {'THUMB' },8265,125,3777,4.96,0.2759,0.381,0.5045,0.0002324,0.003311,0.0037
    {'TIE'   },26498,226,1506,4.81,0.2759,0.4,0.519,0.0002327,0.0031588,0.0038
    {'TOAD'  },1264,9,12784,5,0.1724,0.2941,0.55,0.0000563,0.0023246,0.0024
    {'TOAST' },3792,53,6245,4.93,0.1379,0.2353,0.4762,0.0001392,0.0025508,0.0029
    {'TOE'   },10088,142,3382,4.93,0.3793,0.6471,0.5946,0.000188,0.0035087,0.0041
    {'TOOL'  },33655,234,1295,4.6,0.2069,0.4,0.2,0.0001675,0.0030133,0.0036
    {'TOOTH' },22223,202,1864,4.89,0.1724,0.2941,0.4898,0.0003261,0.0034302,0.0043
    {'TOY'   },15082,180,2434,4.93,0.2414,0.5385,0.6364,0.0002261,0.003773,0.0043
    {'TRAIN' },25990,225,1521,4.79,0.1724,0.2778,0.6778,0.0001636,0.0028989,0.0037
    {'TRASH' },6526,91,4448,4.7,0.2069,0.3,0.4528,0.0002718,0.0039357,0.0048
    {'TRAY'  },6487,88,4510,4.74,0.2069,0.3,0.5,0.0002613,0.0032108,0.0042
    {'TREE'  },72456,279,596,5,0.2069,0.3333,0.7476,0.0004027,0.0056977,0.0067
    {'TRUCK' },33668,240,1241,4.84,0.1724,0.2778,0.5581,0.0003779,0.0037885,0.005
    {'VAN'   },26970,135,3551,4.72,0.2069,0.3333,0.6019,0.0001763,0.0020674,0.003
    {'VASE'  },3069,41,7152,5,0.1034,0.2,0.6667,0.0001473,0.0024417,0.0025
    {'VEST'  },3305,46,6782,4.52,0.2069,0.3333,0.6082,0.0001243,0.0024653,0.0029
    {'VINE'  },4503,60,5746,4.86,0.1724,0.3571,0.6442,0.0002467,0.002709,0.0031
    {'WALL'  },91439,281,571,4.86,0.1724,0.2632,0.6404,0.0003493,0.0042289,0.0053
    {'WAND'  },1144,10,12627,4.73,0.2069,0.3,0.3737,0.0001485,0.0023047,0.0025
    {'WAVE'  },29256,231,1402,4.55,0.2069,0.3333,0.5225,0.0002147,0.0027008,0.0033
    {'WEB'   },28918,105,4261,4.37,0.3103,0.4737,0.7083,0.000288,0.0025755,0.0036
    {'WEED'  },6014,87,4587,4.9,0.3103,0.4737,0.5641,0.0001936,0.0025254,0.003
    {'WHALE' },8109,104,4267,4.96,0.3793,0.55,0.6782,0.0002609,0.0032515,0.0037
    {'WHEEL' },19559,195,2009,4.86,0.2069,0.3529,0.6939,0.0003123,0.0046966,0.0056
    {'WING'  },20528,200,1899,4.86,0.2414,0.4118,0.4955,0.000118,0.0023526,0.0029
    {'WOLF'  },13060,107,4183,4.79,0.3103,0.4737,0.5698,0.0002478,0.0034695,0.0041
    {'WOOD'  },41318,241,1240,4.85,0.3103,0.5294,0.7436,0.000283,0.0051212,0.0063
    {'WORLD' },328689,300,123,4.36,0.2759,0.4211,0.6739,0.0002029,0.0029328,0.0031
    {'WORM'  },5395,74,5044,4.9,0.1724,0.3125,0.5339,0.0001868,0.0032987,0.0039
    {'YARD'  },43195,258,1036,4.82,0.3103,0.4737,0.6552,0.0002531,0.0038982,0.0052
    {'ZOO'   },4990,50,6371,4.81,0.2759,0.4444,0.6154,0.000189,0.0024358,0.0028
