Word,WordFreq_count,Wordfreq_localrank,Wordfreq_globalrank,Concreteness,ECoG_memobserved_weigthed,ECoG_memobserved_unweighted,AMT_memobserved,Model_presented_cue,Model_all_cue,ModelListMem
    {'COIN'  },6463,93,4415,4.89,0.2414,0.3684,0.5794,0.0001793,0.0026264,0.0032
    {'CONE'  },4104,57,5953,4.86,0.2759,0.4,0.8261,0.0002858,0.0030659,0.0037
    {'CORD'  },6576,98,4352,4.63,0.1379,0.2105,0.5179,0.000225,0.0031029,0.0034
    {'CORN'  },14956,178,2464,4.96,0.1724,0.2778,0.44,0.0003342,0.0035745,0.0046
    {'COUCH' },10022,140,3398,4.71,0.2414,0.5385,0.6413,0.0000933,0.0029542,0.0039
    {'COW'   },10735,152,3097,4.96,0.2069,0.375,0.5467,0.0002692,0.0039777,0.005
    {'CRANE' },4280,30,8545,4.68,0.1724,0.2632,0.578,0.0001604,0.0029007,0.003
    {'CROW'  },4917,29,8557,4.93,0.2759,0.5333,0.56,0.000196,0.0028032,0.0035
    {'CROWN' },7642,72,5150,4.81,0.2414,0.3889,0.6383,0.000228,0.0030282,0.0036
    {'CUBE'  },4476,59,5796,4.62,0.2069,0.4,0.5823,0.0001944,0.0029199,0.003
    {'CUP'   },61009,270,780,5,0.1724,0.2941,0.6639,0.0001919,0.0030835,0.0035
    {'DART'  },3034,39,7344,4.9,0.1379,0.25,0.7209,0.0001879,0.0023995,0.0025
    {'DEER'  },12919,160,2928,4.86,0.2069,0.3333,0.6373,0.000322,0.0038554,0.0046
    {'DESK'  },25304,215,1665,4.87,0.1724,0.3333,0.7113,0.0001969,0.0030453,0.0035
    {'DIME'  },2770,37,7646,4.85,0.3103,0.4286,0.1622,0.0002292,0.0013844,0.0015
    {'DITCH' },3068,42,6992,4.5,0.1724,0.2381,0.6364,0.0002125,0.0029851,0.0036
    {'DOCK'  },5769,76,4960,4.64,0.2759,0.5,0.4432,0.0001372,0.0024128,0.003
    {'DOG'   },57135,272,753,4.85,0.3103,0.4286,0.65,0.000364,0.0056116,0.0068
    {'DOLL'  },7969,122,3853,5,0.2414,0.3889,0.633,0.0004316,0.0039256,0.0049
    {'DOOR'  },134676,292,343,4.81,0.4138,0.6,0.5048,0.0004496,0.0053471,0.0067
    {'DRESS' },29408,228,1441,4.93,0.2414,0.4118,0.6262,0.0002175,0.0037656,0.0043
    {'DRUM'  },6896,113,4148,4.96,0.069,0.125,0.64,0.0002471,0.0035312,0.0043
    {'DUCK'  },9199,136,3545,4.86,0.1379,0.2353,0.5856,0.0002656,0.0043087,0.0053
    {'EAR'   },31940,233,1341,5,0.2069,0.3529,0.8095,0.0002896,0.0043486,0.0051
    {'EEL'   },1035,8,13592,4.69,0.3103,0.5,0.6133,0.0001991,0.0023353,0.0024
    {'EGG'   },30682,232,1380,4.97,0.4138,0.5217,0.55,0.0003644,0.0045305,0.0053
    {'ELF'   },2103,7,13856,4.3,0.2414,0.4375,0.6264,0.000106,0.0011833,0.0013
    {'FACE'  },137165,293,330,4.87,0.2069,0.4,0.5979,0.0002698,0.0039673,0.0056
    {'FAN'   },6891,250,1210,4.71,0.2069,0.4,0.5619,0.0001333,0.0033098,0.0039
    {'FARM'  },32657,238,1262,4.59,0.2414,0.5,0.6526,0.0003127,0.0036827,0.0052
    {'FENCE' },13198,171,2669,4.82,0.1724,0.3333,0.5072,0.0001888,0.0038646,0.0049
    {'FILM'  },71725,280,593,4.71,0.1379,0.2,0.5545,0.0002611,0.0025899,0.0032
    {'FISH'  },45922,261,948,5,0.1724,0.25,0.7073,0.0002536,0.005157,0.0062
    {'FLAG'  },14632,179,2460,4.79,0.1379,0.2105,0.4455,0.0001712,0.0034846,0.0042
    {'FLAME' },10447,149,3220,4.67,0.2759,0.4444,0.5253,0.0002924,0.0035608,0.0042
    {'FLEA'  },2154,20,9353,4.89,0.2414,0.4667,0.5857,0.0001741,0.0023745,0.0029
    {'FLOOR' },67238,277,639,4.8,0.2414,0.5,0.8068,0.0002924,0.0045705,0.0057
    {'FLUTE' },2010,24,9010,5,0.3448,0.5556,0.5189,0.0001938,0.0022527,0.0023
    {'FOAM'  },3766,52,6260,4.85,0.1724,0.3125,0.5294,0.0002185,0.0036939,0.0045
    {'FOG'   },5592,75,4961,4.66,0.2414,0.4667,0.5842,0.000131,0.0029241,0.0035
    {'FOOD'  },118201,291,366,4.8,0.1034,0.2143,0.5714,0.0001465,0.0036403,0.0042
    {'FOOT'  },116290,290,380,4.9,0.1379,0.2105,0.9634,0.0003983,0.0050896,0.0061
    {'FORK'  },8481,124,3787,4.9,0.2759,0.5333,0.5146,0.0002183,0.0040517,0.0045
    {'FORT'  },12288,28,8706,4.72,0.1379,0.2667,0.8333,0.0000895,0.0017381,0.0027
    {'FOX'   },13077,38,7586,4.97,0.3103,0.5,0.7444,0.0002045,0.0023989,0.0033
    {'FROG'  },5209,68,5430,5,0.1379,0.25,0.5571,0.0002734,0.004212,0.0053
    {'FRUIT' },24055,214,1668,4.81,0.3448,0.5556,0.5175,0.0004019,0.0046818,0.0058
    {'FUDGE' },834,4,15182,4.89,0.2069,0.3158,0.5612,0.0001328,0.0011774,0.001
    {'FUR'   },6019,82,4744,4.69,0.2414,0.3043,0.6351,0.0002835,0.0034116,0.0042
    {'GATE'  },19526,194,2020,4.96,0.2069,0.3333,0.4825,0.0002641,0.0036478,0.0043
    {'GEESE' },4693,66,5592,4.8028,0.0345,0.0909,0.5701,0.0000821,0.0016539,0.0019
    {'GLASS' },55823,268,821,4.82,0.2414,0.4118,0.5366,0.0002744,0.0050996,0.0064
    {'GLOVE' },11011,151,3114,4.97,0.2414,0.35,0.7935,0.000328,0.0036319,0.0042
    {'GOAT'  },6070,83,4718,5,0.2069,0.3529,0.6771,0.0002469,0.0043465,0.0052
    {'GOLD'  },33706,239,1260,4.81,0.3448,0.625,0.5568,0.0002118,0.0035479,0.0041
    {'GRAPE' },5809,79,4809,5,0.2414,0.35,0.9077,0.0003121,0.0026516,0.0031
    {'GRASS' },19494,192,2025,4.93,0.3793,0.55,0.7901,0.000452,0.0048031,0.0062
    {'GUARD' },32605,235,1288,4.04,0.3103,0.45,0.604,0.0002204,0.0025567,0.0037
    {'HAND'  },242773,298,174,4.72,0.2414,0.4118,0.6303,0.0005251,0.005789,0.0067
    {'HAT'   },19801,191,2026,4.88,0.3103,0.4091,0.6083,0.0004158,0.0048361,0.0058
    {'HAWK'  },6933,34,8066,4.93,0.1379,0.2105,0.4343,0.000195,0.0023935,0.0031
    {'HEART' },91598,288,460,4.52,0.1034,0.1667,0.6337,0.0002273,0.0034661,0.0044
    {'HEN'   },2479,33,8078,4.9,0.2069,0.3158,0.5143,0.0001511,0.0021917,0.0022
    {'HILL'  },43931,193,2022,4.93,0.2069,0.3158,0.8317,0.0002461,0.0038434,0.0046
    {'HOLE'  },34949,248,1215,4.81,0.1379,0.2222,0.5238,0.000322,0.0048219,0.0057
    {'HOOF'  },1687,15,10326,4.89,0.2069,0.3158,0.5778,0.0001688,0.0021305,0.0024
    {'HOOK'  },9252,123,3821,4.79,0.2069,0.2857,0.4636,0.0003337,0.0041141,0.0054
    {'HORN'  },8954,127,3680,5,0.1724,0.3333,0.5612,0.0002435,0.0031732,0.004
    {'HORSE' },33376,236,1283,5,0.1379,0.5714,0.5435,0.0001265,0.0049776,0.0059
    {'HOSE'  },3709,51,6309,4.87,0.2069,0.4286,0.5795,0.0001316,0.0034848,0.0037
    {'HOUSE' },213652,295,257,5,0.4483,0.6842,0.703,0.0002997,0.0040727,0.0049
    {'ICE'   },34674,244,1234,4.89,0.2759,0.4444,0.5968,0.0003104,0.004612,0.0056
    {'INK'   },5050,71,5247,4.56,0.2414,0.4375,0.4531,0.0002358,0.0029296,0.0036
    {'JAIL'  },14380,175,2544,4.83,0.4138,0.5,0.5443,0.0003073,0.001898,0.0021
    {'JAR'   },6910,101,4299,5,0.2414,0.4667,0.5463,0.0001252,0.0036224,0.004
    {'JEEP'  },3332,13,11201,4.8,0.1724,0.2778,0.4835,0.0001763,0.0022085,0.0026
    {'JET'   },14708,150,3163,4.77,0.2069,0.3,0.6667,0.0002277,0.0026837,0.0028
