TOAD	9	12784	1264
TOAST	53	6245	3792
TOE	142	3382	10088
TOOL	234	1295	33655
TOOTH	202	1864	22223
TOY	180	2434	15082
TRAIN	225	1521	25990
TRASH	91	4448	6526
TRAY	88	4510	6487
TREE	279	596	72456
TRUCK	240	1241	33668
VAN	135	3551	26970
VASE	41	7152	3069
VEST	46	6782	3305
VINE	60	5746	4503
WALL	281	571	91439
WAND	10	12627	1144
WAVE	231	1402	29256
WEB	105	4261	28918
WEED	87	4587	6014
WHALE	104	4267	8109
WHEEL	195	2009	19559
WING	200	1899	20528
WOLF	107	4183	13060
WOOD	241	1240	41318
WORLD	300	123	328689
WORM	74	5044	5395
YARD	258	1036	43195
ZOO	50	6371	4990
